Game,Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,rating,ratings_count,metacritic,genres,platforms
PS3_Grand Theft Auto V,PS3,Grand Theft Auto V,Rockstar Games,Rockstar North,0.0,20320000.0,6370000.0,9850000.0,990000.0,3120000.0,2013-09-17,,4.47,7225.0,92.0,Action,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Xbox 360, PlayStation 3"
PS4_Grand Theft Auto V,PS4,Grand Theft Auto V,Rockstar Games,Rockstar North,0.0,19390000.0,6060000.0,9710000.0,600000.0,3020000.0,2014-11-18,2018-01-03,4.47,7225.0,92.0,Action,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Xbox 360, PlayStation 3"
PS4_Call of Duty: Black Ops 3,PS4,Call of Duty: Black Ops 3,Activision,Treyarch,0.0,15090000.0,6180000.0,6050000.0,410000.0,2440000.0,2015-11-06,2018-01-14,,,,,
PS4_Red Dead Redemption 2,PS4,Red Dead Redemption 2,Rockstar Games,Rockstar Games,0.0,13940000.0,5260000.0,6210000.0,210000.0,2260000.0,2018-10-26,2018-11-02,4.59,5357.0,96.0,Action,"PC, Xbox One, PlayStation 4"
PS3_Call of Duty: Black Ops II,PS3,Call of Duty: Black Ops II,Activision,Treyarch,0.0,13800000.0,4990000.0,5880000.0,650000.0,2280000.0,2012-11-13,,3.96,1417.0,74.0,"Shooter, Action","PC, Xbox One, Xbox 360, PlayStation 3, Wii U"
PS4_Call of Duty: WWII,PS4,Call of Duty: WWII,Activision,Sledgehammer Games,0.0,13400000.0,4670000.0,6210000.0,400000.0,2120000.0,2017-11-03,2017-12-31,3.54,1171.0,77.0,"Shooter, Action","PC, Xbox One, PlayStation 4"
PS3_Call of Duty: Modern Warfare 3,PS3,Call of Duty: Modern Warfare 3,Activision,Infinity Ward,0.0,13350000.0,5540000.0,5780000.0,490000.0,1540000.0,2011-11-08,,3.78,1627.0,85.0,"Shooter, Action","PC, Xbox One, iOS, macOS, Xbox 360, PlayStation 3, Wii"
PS3_Call of Duty: Black Ops,PS3,Call of Duty: Black Ops,Activision,Treyarch,0.0,12670000.0,6010000.0,4400000.0,480000.0,1780000.0,2010-11-09,,4.05,1846.0,81.0,"Shooter, Action","PC, Xbox One, iOS, Nintendo DS, macOS, Xbox 360, PlayStation 3, Wii"
PS4_FIFA 18,PS4,FIFA 18,EA Sports,EA Vancouver,0.0,11800000.0,1270000.0,8640000.0,150000.0,1730000.0,2017-09-29,2018-04-02,3.36,700.0,79.0,Sports,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360"
PS4_FIFA 17,PS4,FIFA 17,Electronic Arts,EA Canada,0.0,10940000.0,1260000.0,7950000.0,120000.0,1610000.0,2016-09-27,2018-03-28,3.31,588.0,85.0,Sports,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS3_Call of Duty: Modern Warfare 2,PS3,Call of Duty: Modern Warfare 2,Activision,Infinity Ward,0.0,10610000.0,4990000.0,3660000.0,380000.0,1590000.0,2009-11-10,,4.27,2049.0,86.0,Shooter,"PC, Xbox One, macOS, Xbox 360, PlayStation 3"
PS3_Grand Theft Auto IV,PS3,Grand Theft Auto IV,Rockstar Games,Rockstar North,0.0,10570000.0,4790000.0,3730000.0,440000.0,1620000.0,2008-04-29,,4.26,3068.0,95.0,Action,"PC, Xbox One, Xbox 360, PlayStation 3"
PS4_Uncharted 4: A Thief's End,PS4,Uncharted 4: A Thief's End,Sony Interactive Entertainment,Naughty Dog,18650000.0,10330000.0,4490000.0,3930000.0,210000.0,1700000.0,2016-05-10,2018-09-23,,,,,
PS3_Call of Duty: Ghosts,PS3,Call of Duty: Ghosts,Activision,Infinity Ward,0.0,10130000.0,4110000.000000001,4010000.0,390000.0,1620000.0,2013-11-05,,3.15,842.0,68.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3, Wii U"
PS4_Call of Duty: Black Ops IIII,PS4,Call of Duty: Black Ops IIII,Activision,Treyarch,0.0,9320000.0,4050000.0,3280000.0,500000.0,1490000.0,2018-10-12,2018-11-07,,,,,
PS4_FIFA 19,PS4,FIFA 19,Electronic Arts,EA Sports,0.0,9150000.0,840000.0,6870000.0,100000.0,1340000.0,2018-09-28,2018-09-12,3.31,650.0,80.0,"Simulation, Sports","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
PS4_Marvel's Spider-Man,PS4,Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games,22690000.0,8760000.0,3640000.0,3390000.0,320000.0,1410000.0,2018-09-07,2018-09-26,4.45,3652.0,87.0,Action,"PC, PlayStation 5, PlayStation 4"
PS4_Call of Duty: Infinite Warfare,PS4,Call of Duty: Infinite Warfare,Activision,Infinity Ward,0.0,8480000.0,3110000.0,3830000.0,190000.0,1360000.0,2016-11-04,2018-01-14,3.58,627.0,73.0,"Shooter, Action","PC, Xbox One, PlayStation 4"
PS4_Fallout 4,PS4,Fallout 4,Bethesda Softworks,Bethesda Game Studios,0.0,8480000.0,2910000.0,3970000.0,270000.0,1340000.0,2015-11-10,2018-03-24,3.81,3385.0,84.0,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4"
PS4_FIFA 16,PS4,FIFA 16,EA Sports,EA Canada,0.0,8220000.000000001,1150000.0,5770000.0,70000.0,1230000.0,2015-09-22,2018-04-01,,,,,
PS4_Star Wars Battlefront (2015),PS4,Star Wars Battlefront (2015),Electronic Arts,EA DICE,0.0,8029999.999999999,3310000.0,3190000.0,230000.0,1300000.0,2015-11-17,2018-03-24,,,,,
PS3_FIFA 13,PS3,FIFA 13,EA Sports,EA Canada,0.0,8010000.0,1070000.0,5130000.0,130000.0,1680000.0,2012-09-25,,3.75,166.0,78.0,Sports,"PC, iOS, Xbox 360, PlayStation 3, PlayStation 2, Wii U"
PS4_Call of Duty: Advanced Warfare,PS4,Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,0.0,7530000.0,2840000.0,3340000.0,140000.0,1220000.0,2014-11-04,2018-01-04,3.47,862.0,78.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS4_Battlefield 1,PS4,Battlefield 1,Electronic Arts,EA DICE,0.0,7260000.0,2200000.0,3650000.0,290000.0,1120000.0,2016-10-21,2018-03-24,3.84,1960.0,88.0,"Shooter, Action","PC, Xbox One, PlayStation 4"
PS3_Battlefield 3,PS3,Battlefield 3,Electronic Arts,Dice,0.0,7210000.0,2860000.0,2940000.0,350000.0,1070000.0,2011-10-25,,4.07,1356.0,86.0,"Shooter, Action","PC, Xbox One, Xbox 360, PlayStation 3"
PS4_The Last of Us Remastered,PS4,The Last of Us Remastered,Sony Computer Entertainment,Naughty Dog,18630000.0,6770000.0,2700000.0,2860000.0,110000.0,1100000.0,2014-07-29,2018-09-24,4.69,2842.0,95.0,"Adventure, Action",PlayStation 4
PS3_Uncharted 2: Among Thieves,PS3,Uncharted 2: Among Thieves,Sony Computer Entertainment,Naughty Dog,0.0,6740000.0,3280000.0,2220000.0,210000.0,1020000.0,2009-10-13,,4.39,1775.0,96.0,"Shooter, Action","PlayStation 4, PlayStation 3"
PS3_Call of Duty 4: Modern Warfare,PS3,Call of Duty 4: Modern Warfare,Activision,Infinity Ward,0.0,6720000.0,3130000.0,2270000.0,280000.0,1040000.0,2007-11-05,,4.39,1813.0,92.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Nintendo DS, macOS, Xbox 360, PlayStation 3, Wii"
PS3_FIFA Soccer 12,PS3,FIFA Soccer 12,EA Sports,EA Canada,0.0,6650000.0,840000.0,4330000.0,110000.0,1370000.0,2011-09-27,,,,,,
PS3_FIFA 14,PS3,FIFA 14,EA Sports,EA Canada,0.0,6610000.0,790000.0,4770000.0,70000.0,980000.0,2013-09-24,,3.43,458.0,86.0,Sports,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Nintendo 3DS, Xbox 360, PlayStation 3, PlayStation 2, PS Vita, PSP, Wii"
PS3_Red Dead Redemption,PS3,Red Dead Redemption,Rockstar Games,Rockstar San Diego,0.0,6570000.0,2820000.0,2580000.0,170000.0,1000000.0,2011-10-11,,4.42,2158.0,95.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
PS3_Assassin's Creed III,PS3,Assassin's Creed III,Ubisoft,Ubisoft Montreal,0.0,6500000.0,2650000.0,2610000.0,160000.0,1080000.0,2012-10-30,,,,,,
PS3_The Elder Scrolls V: Skyrim,PS3,The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,0.0,6490000.0,2570000.0,2680000.0,250000.0,990000.0,2011-11-11,,4.42,4834.0,94.0,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, Xbox 360, PlayStation 3"
PS4_Minecraft,PS4,Minecraft,Sony Computer Entertainment,Mojang,0.0,6330000.0,1890000.0,3130000.0,350000.0,960000.0,2014-10-07,2018-09-14,4.43,3056.0,83.0,"Action, Arcade, Simulation, Indie, Massively Multiplayer","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, Nintendo 3DS, macOS, Linux, Xbox 360, PlayStation 3, PS Vita, Wii U"
PS4_FIFA 15,PS4,FIFA 15,EA Sports,EA Canada,0.0,6320000.0,830000.0,4490000.0,50000.0,940000.0,2014-09-23,2018-03-23,3.37,509.0,82.0,Sports,"PC, PlayStation 4, Xbox One, Nintendo 3DS, Xbox 360, PlayStation 3, PS Vita"
PS4_God of War (2018),PS4,God of War (2018),Sony Interactive Entertainment,SIE Santa Monica Studio,21020000.0,6150000.0,2830000.0,2170000.0,130000.0,1020000.0,2018-04-20,2022-05-26,4.55,5051.0,94.0,Action,"PC, PlayStation 4"
